dataset,x,y
set_13,55.3846,97.1795
set_13,51.5385,96.0256
set_13,46.1538,94.4872
set_13,42.8205,91.4103
set_13,40.7692,88.3333
set_13,38.7179,84.8718
set_13,35.641,79.8718
set_13,33.0769,77.5641
set_13,28.9744,74.4872
set_13,26.1538,71.4103
set_13,23.0769,66.4103
set_13,22.3077,61.7949
set_13,22.3077,57.1795
set_13,23.3333,52.9487
set_13,25.8974,51.0256
set_13,29.4872,51.0256
set_13,32.8205,51.0256
set_13,35.3846,51.4103
set_13,40.2564,51.4103
set_13,44.1026,52.9487
set_13,46.6667,54.1026
set_13,50,55.2564
set_13,53.0769,55.641
set_13,56.6667,56.0256
set_13,59.2308,57.9487
set_13,61.2821,62.1795
set_13,61.5385,66.4103
set_13,61.7949,69.1026
set_13,57.4359,55.2564
set_13,54.8718,49.8718
set_13,52.5641,46.0256
set_13,48.2051,38.3333
set_13,49.4872,42.1795
set_13,51.0256,44.1026
set_13,45.3846,36.4103
set_13,42.8205,32.5641
set_13,38.7179,31.4103
set_13,35.1282,30.2564
set_13,32.5641,32.1795
set_13,30,36.7949
set_13,33.5897,41.4103
set_13,36.6667,45.641
set_13,38.2051,49.1026
set_13,29.7436,36.0256
set_13,29.7436,32.1795
set_13,30,29.1026
set_13,32.0513,26.7949
set_13,35.8974,25.2564
set_13,41.0256,25.2564
set_13,44.1026,25.641
set_13,47.1795,28.718
set_13,49.4872,31.4103
set_13,51.5385,34.8718
set_13,53.5897,37.5641
set_13,55.1282,40.641
set_13,56.6667,42.1795
set_13,59.2308,44.4872
set_13,62.3077,46.0256
set_13,64.8718,46.7949
set_13,67.9487,47.9487
set_13,70.5128,53.718
set_13,71.5385,60.641
set_13,71.5385,64.4872
set_13,69.4872,69.4872
set_13,46.9231,79.8718
set_13,48.2051,84.1026
set_13,50,85.2564
set_13,53.0769,85.2564
set_13,55.3846,86.0256
set_13,56.6667,86.0256
set_13,56.1538,82.9487
set_13,53.8462,80.641
set_13,51.2821,78.718
set_13,50,78.718
set_13,47.9487,77.5641
set_13,29.7436,59.8718
set_13,29.7436,62.1795
set_13,31.2821,62.5641
set_13,57.9487,99.4872
set_13,61.7949,99.1026
set_13,64.8718,97.5641
set_13,68.4615,94.1026
set_13,70.7692,91.0256
set_13,72.0513,86.4103
set_13,73.8462,83.3333
set_13,75.1282,79.1026
set_13,76.6667,75.2564
set_13,77.6923,71.4103
set_13,79.7436,66.7949
set_13,81.7949,60.2564
set_13,83.3333,55.2564
set_13,85.1282,51.4103
set_13,86.4103,47.5641
set_13,87.9487,46.0256
set_13,89.4872,42.5641
set_13,93.3333,39.8718
set_13,95.3846,36.7949
set_13,98.2051,33.718
set_13,56.6667,40.641
set_13,59.2308,38.3333
set_13,60.7692,33.718
set_13,63.0769,29.1026
set_13,64.1026,25.2564
set_13,64.359,24.1026
set_13,74.359,22.9487
set_13,71.2821,22.9487
set_13,67.9487,22.1795
set_13,65.8974,20.2564
set_13,63.0769,19.1026
set_13,61.2821,19.1026
set_13,58.7179,18.3333
set_13,55.1282,18.3333
set_13,52.3077,18.3333
set_13,49.7436,17.5641
set_13,47.4359,16.0256
set_13,44.8718,13.718
set_13,48.7179,14.8718
set_13,51.2821,14.8718
set_13,54.1026,14.8718
set_13,56.1538,14.1026
set_13,52.0513,12.5641
set_13,48.7179,11.0256
set_13,47.1795,9.8718
set_13,46.1538,6.0256
set_13,50.5128,9.4872
set_13,53.8462,10.2564
set_13,57.4359,10.2564
set_13,60,10.641
set_13,64.1026,10.641
set_13,66.9231,10.641
set_13,71.2821,10.641
set_13,74.359,10.641
set_13,78.2051,10.641
set_13,67.9487,8.718
set_13,68.4615,5.2564
set_13,68.2051,2.9487
set_13,37.6923,25.7692
set_13,39.4872,25.3846
set_13,91.2821,41.5385
set_13,50,95.7692
set_13,47.9487,95
set_13,44.1026,92.6923
set_01,32.33111023,61.41110125
set_01,53.42146288,26.18688039
set_01,63.92020226,30.83219392
set_01,70.28950572,82.53364859
set_01,34.11883024,45.73455132
set_01,67.6707164,37.11094797
set_01,53.25912941,97.4757711
set_01,63.51498087,25.10007858
set_01,67.98053881,80.95716522
set_01,67.3724659,29.7204002
set_01,15.56074952,80.06564029
set_01,71.79076769,71.06546666
set_01,70.24254644,24.10959755
set_01,64.93743554,81.55420499
set_01,62.21352455,21.475839
set_01,67.26940048,18.70896837
set_01,40.57019704,79.37296348
set_01,74.74118133,21.1016372
set_01,71.76831892,20.01106184
set_01,76.16691981,75.9361704
set_01,65.62365744,15.58280335
set_01,50.85063364,13.98760163
set_01,33.02407002,24.46783039
set_01,39.70632617,84.2752871
set_01,45.59648495,9.763348849
set_01,42.96804691,17.9454584
set_01,52.49440678,16.0511142
set_01,46.08227578,23.11045782
set_01,74.24770821,20.31418781
set_01,64.56826419,83.6396339
set_01,74.02169391,76.12827451
set_01,62.39118056,5.623070761
set_01,74.18903668,68.13358322
set_01,28.23678194,56.13959645
set_01,75.77193879,69.82923003
set_01,75.85522947,62.51704429
set_01,65.97085702,72.744856
set_01,21.77804048,6.616625307
set_01,67.75979625,72.42120153
set_01,78.61719534,52.57525731
set_01,68.50770819,15.45691897
set_01,74.88502116,25.41660632
set_01,66.45490366,19.83662865
set_01,77.3178021,48.39834644
set_01,58.91246032,75.66775622
set_01,57.61744782,8.194800603
set_01,76.0882258,59.67993002
set_01,57.46605055,1.504418175
set_01,79.42838349,45.21079429
set_01,76.35652215,10.41824113
set_01,64.40507526,78.58417608
set_01,40.63504181,73.39475037
set_01,43.94986459,75.95871567
set_01,30.99622058,71.69440494
set_01,68.23076899,80.87250166
set_01,72.04638946,12.91800673
set_01,46.59276797,84.97238278
set_01,49.25721834,81.88140323
set_01,42.78176125,12.99118843
set_01,65.4759522,14.27458564
set_01,71.96508265,17.71023594
set_01,32.14646234,43.48170944
set_01,31.8384977,71.81216539
set_01,31.00525826,40.68250301
set_01,80.47089432,49.50214835
set_01,71.96416711,41.87428267
set_01,78.07942144,93.13331677
set_01,41.67759577,30.20126408
set_01,65.95359519,31.14740608
set_01,62.93445937,31.9163907
set_01,64.37379798,28.86258341
set_01,72.50932836,39.54013025
set_01,30.05228987,96.61754235
set_01,28.00332424,46.67219195
set_01,75.40122686,88.63907662
set_01,38.98001542,87.32216069
set_01,65.21991355,84.68295493
set_01,73.05398996,29.38080856
set_01,34.39836164,59.5444469
set_01,43.49045013,40.78254207
set_01,55.13873797,30.72576036
set_01,43.68439343,32.82300987
set_01,35.90360973,91.11186308
set_01,45.37801888,29.16921665
set_01,39.77748287,43.75581895
set_01,38.66446116,33.31723848
set_01,39.04403669,84.67601083
set_01,91.63996144,79.40660306
set_01,47.48813268,85.38993338
set_01,44.59021258,22.03401164
set_01,39.08961455,70.46619408
set_01,42.22937838,19.91406841
set_01,37.00038714,60.26427925
set_01,39.05208648,70.65250285
set_01,37.48841474,60.81440485
set_01,69.35955946,65.5213546
set_01,43.54277593,62.46031128
set_01,39.81123025,65.33483281
set_01,70.06892594,7.593465609
set_01,70.04054358,77.1438066
set_01,39.50578908,74.85162722
set_01,62.51689085,66.48473224
set_01,72.13992541,0.015119325
set_01,45.25157607,70.00342132
set_01,42.06330456,2.335196612
set_01,36.35569515,6.00584865
set_01,30.39182766,42.75961287
set_01,36.44900385,50.54626907
set_01,40.467576,60.02751209
set_01,81.7246168,6.037544846
set_01,48.8231975,76.63533058
set_01,35.62056177,57.28601558
set_01,50.58396311,71.8066161
set_01,61.85646511,71.79274316
set_01,39.32375603,59.30081967
set_01,42.18567914,66.03489782
set_01,30.84691899,37.3416401
set_01,29.34620043,42.14874183
set_01,82.11055798,1.210551663
set_01,38.30200581,60.01778579
set_01,56.58415302,70.51251481
set_01,33.33937429,0.509106735
set_01,78.77423904,35.48410121
set_01,27.92264424,25.98687818
set_01,71.69786512,10.86814451
set_01,74.13833139,49.17391898
set_01,32.57902007,1.808115597
set_01,59.83218542,69.15250814
set_01,35.03062855,12.53664934
set_01,74.30011983,42.47709459
set_01,63.25019706,65.9524862
set_01,34.17307376,25.69367431
set_01,40.91383193,38.55901955
set_01,62.83329309,62.51089423
set_01,42.47679238,56.73128997
set_01,52.03345628,64.56666203
set_01,48.90704296,74.28774883
set_01,59.85183839,72.95839097
set_01,48.9604602,72.62952573
set_01,46.84485517,36.79171369
set_01,39.96302158,42.94491485
set_01,66.704944,32.01509543
set_02,53.36656687,90.20803001
set_02,52.80197936,90.08806451
set_02,47.05412988,90.45893603
set_02,42.44843378,89.50770012
set_02,42.70403632,90.44262886
set_02,32.37893863,90.14414263
set_02,32.53070274,70.15739651
set_02,33.36526443,70.45933544
set_02,32.65609918,70.0510705
set_02,22.95509327,70.42689515
set_02,27.14984363,70.21080584
set_02,26.16690928,70.50031512
set_02,26.33145708,50.49455653
set_02,22.00370914,50.49944012
set_02,23.28474798,50.47435283
set_02,27.63403839,50.50366686
set_02,32.037108,50.50006612
set_02,29.33651065,50.46189397
set_02,40.81695313,50.4877602
set_02,42.73907512,50.48315599
set_02,51.86789377,50.49327326
set_02,43.37100189,50.50083732
set_02,53.0427983,50.48750387
set_02,56.6189103,50.50337402
set_02,70.56828982,50.49623612
set_02,67.87088729,70.06802613
set_02,58.82154659,70.45578175
set_02,60.18692784,70.48355125
set_02,59.43551748,50.42063261
set_02,49.58584348,50.43498138
set_02,41.77974178,50.47064228
set_02,46.12768634,30.44941078
set_02,38.03378377,50.49089952
set_02,44.54684128,50.41591338
set_02,46.2381176,30.49561294
set_02,49.73974533,30.47272489
set_02,39.11025189,30.47869518
set_02,39.14283779,30.79285594
set_02,34.62547027,30.49974103
set_02,34.75420747,30.495865
set_02,36.75370024,50.5293043
set_02,37.01935129,50.4926667
set_02,41.41711528,50.46977342
set_02,22.81710748,30.43604034
set_02,34.80070146,30.49793139
set_02,27.8918898,30.48497026
set_02,32.87063916,30.50234175
set_02,37.79404941,30.49263834
set_02,35.6673163,30.52203505
set_02,48.4422995,30.50172278
set_02,58.66937326,30.50683789
set_02,47.91695544,30.48672575
set_02,51.89416639,30.49475568
set_02,51.74908916,30.47299334
set_02,58.246553,50.44287449
set_02,57.31069687,50.48251329
set_02,67.96804811,50.45215891
set_02,65.94931927,50.49424079
set_02,55.74709281,50.4789748
set_02,68.40301004,50.49862723
set_02,76.69646563,50.49383056
set_02,67.21483712,70.26002844
set_02,72.30200573,70.22043738
set_02,66.76325739,70.47386171
set_02,51.68030044,89.99702755
set_02,53.09655736,89.54024371
set_02,42.24229294,89.70857859
set_02,56.23387566,89.63530816
set_02,54.68098658,89.96459946
set_02,57.90268661,89.61840173
set_02,51.82026255,89.8341304
set_02,56.82839534,89.58366473
set_02,58.27227859,69.90027296
set_02,51.82812745,70.35264921
set_02,44.84998426,70.39520297
set_02,24.27038239,50.48556769
set_02,34.74247144,70.33993489
set_02,37.79931493,70.46953588
set_02,49.78694106,89.65804699
set_02,59.75149741,89.73193252
set_02,64.77479924,90.13231674
set_02,70.8444476,89.92420902
set_02,70.60594551,90.04206196
set_02,78.64248839,89.55120323
set_02,70.81069225,89.59265401
set_02,66.76994662,70.42337521
set_02,73.33636816,70.31692717
set_02,73.10514816,70.30051188
set_02,74.67825414,70.44531419
set_02,80.24025095,70.35430896
set_02,70.94684907,50.47270179
set_02,88.66266381,50.45532602
set_02,84.40595283,50.49486589
set_02,75.98710471,50.49196696
set_02,91.11208542,50.48938939
set_02,98.28812327,30.60391937
set_02,95.06527484,30.50040287
set_02,95.24923396,30.45945421
set_02,49.65612629,50.43131987
set_02,63.01860093,30.49258193
set_02,70.5382006,30.48355825
set_02,70.08686977,30.51004482
set_02,62.68569044,30.54642456
set_02,69.23941796,30.50600524
set_02,80.40023368,30.48500637
set_02,74.64787823,30.67386286
set_02,65.99527272,30.47502419
set_02,67.088559,30.49452395
set_02,59.85257703,10.54318778
set_02,53.74899007,10.52257453
set_02,58.23909552,10.49489903
set_02,54.8103005,10.72492928
set_02,52.97671232,10.85949028
set_02,52.20389393,10.49563692
set_02,50.74516224,10.52490557
set_02,42.71319362,10.48754724
set_02,45.31722551,10.49587339
set_02,53.11691504,10.5068606
set_02,57.04980182,10.50813694
set_02,54.85463095,10.46391519
set_02,54.92484256,10.49833194
set_02,63.30955403,10.48881424
set_02,49.74949841,10.48580291
set_02,41.16931042,10.49730024
set_02,46.6883405,10.50753214
set_02,52.41892192,10.49590636
set_02,50.87848838,10.50308987
set_02,57.05330614,10.51406924
set_02,70.78645116,10.51369504
set_02,56.77214957,10.50327235
set_02,75.47722202,10.51856804
set_02,76.76591215,10.49699906
set_02,77.62104913,10.49587423
set_02,65.41448705,10.68184013
set_02,69.9647805,10.50723293
set_02,64.96973826,10.48215951
set_02,38.05024078,30.40794603
set_02,42.22412022,30.49803716
set_02,87.69846429,50.48993653
set_02,52.36033107,89.70431701
set_02,51.40678679,89.71213855
set_02,43.58846847,89.74553655
set_03,50.48150817,93.22270137
set_03,50.28240567,97.60998357
set_03,50.18670334,99.69468014
set_03,50.32691086,90.02205349
set_03,50.45620733,89.98741013
set_03,30.46484693,82.08923208
set_03,30.50159647,82.30712635
set_03,30.48956923,77.72988014
set_03,30.45024833,79.8348944
set_03,30.5183948,68.25258294
set_03,30.51166121,66.09371818
set_03,30.49807771,62.38498503
set_03,30.62022775,60.86008215
set_03,30.49218542,55.87891689
set_03,30.47463433,52.32215964
set_03,30.50099808,48.06969968
set_03,30.49442136,45.77347553
set_03,30.49954455,49.38209975
set_03,50.14439298,47.01428364
set_03,49.91289859,55.58783891
set_03,50.33742749,57.95531428
set_03,50.4189792,60.52491173
set_03,50.20525897,57.92421717
set_03,50.43531516,56.43932247
set_03,69.5057889,59.28492483
set_03,69.53407098,64.89297733
set_03,69.51010693,61.32962443
set_03,69.52632289,56.99527913
set_03,49.94723996,48.22957673
set_03,50.06310413,58.08503756
set_03,50.48990237,39.20541197
set_03,49.68886384,42.01851441
set_03,50.33348111,43.58867148
set_03,50.44675142,57.23058894
set_03,50.4209092,43.3479569
set_03,50.37405205,32.91824062
set_03,30.47682991,39.42460559
set_03,30.50347435,38.34855614
set_03,30.50483493,28.77148799
set_03,30.46221846,32.75047203
set_03,30.49130262,43.56137408
set_03,30.44965384,44.995123
set_03,30.48599422,47.34794647
set_03,30.50207679,36.44121292
set_03,30.47805889,28.02058049
set_03,30.50116088,38.31413856
set_03,30.50477302,26.41662567
set_03,30.50911533,22.82554712
set_03,50.11563217,16.69400655
set_03,50.44830134,21.64025646
set_03,50.17317743,29.17786439
set_03,49.92274192,38.44047291
set_03,50.31129937,26.86048827
set_03,50.39940961,38.96383892
set_03,50.33736264,40.91338614
set_03,50.2023181,47.212948
set_03,50.27493261,49.62349934
set_03,69.49438031,52.61241071
set_03,69.51933976,47.38453371
set_03,69.52918261,57.84126668
set_03,69.4957555,58.78507316
set_03,69.19905771,60.41895732
set_03,69.55109144,58.40109827
set_03,69.50668432,68.08446679
set_03,50.44411755,75.01329951
set_03,50.46722938,90.28146451
set_03,50.21088198,80.94177171
set_03,50.20540696,90.6405359
set_03,50.43829066,92.35476027
set_03,50.37351885,82.21920572
set_03,50.25368369,81.74382872
set_03,50.25047086,71.95138521
set_03,50.08705836,73.95187363
set_03,50.23107188,80.64738706
set_03,50.20774112,73.11450352
set_03,30.49950617,53.61252767
set_03,30.52036124,65.10040907
set_03,30.45495589,63.50177878
set_03,50.41647723,97.26969196
set_03,69.52506938,93.59805021
set_03,69.5202566,97.19387602
set_03,69.49897007,92.12048993
set_03,69.52861566,91.62208824
set_03,69.49976693,84.47968329
set_03,69.50380137,81.81540562
set_03,69.4875894,81.83598756
set_03,69.51911573,71.11596722
set_03,69.50437629,70.49344382
set_03,69.51257301,61.49756395
set_03,89.49420056,62.23432697
set_03,89.50012405,53.21633062
set_03,89.49024625,48.89079655
set_03,89.49778562,46.62990667
set_03,89.50485113,48.42340816
set_03,89.50105265,43.3473437
set_03,89.48884125,40.62509122
set_03,89.50162353,45.81517919
set_03,89.49752966,33.90137267
set_03,50.43909202,37.6707718
set_03,50.17985013,36.80755934
set_03,69.50507067,33.7401525
set_03,69.57986705,21.93523675
set_03,69.50647195,22.72866287
set_03,69.49947887,16.33746998
set_03,69.50026475,27.13602399
set_03,69.50415652,23.6689181
set_03,69.53227958,21.85090082
set_03,69.50011149,11.79162601
set_03,69.50481542,15.61435826
set_03,69.50347452,17.16908977
set_03,50.37740199,16.50601506
set_03,50.33942548,18.72345069
set_03,50.0936501,11.60771342
set_03,49.93412717,22.25613974
set_03,50.28881861,13.43641047
set_03,50.28799443,12.87228221
set_03,50.2347207,20.40447292
set_03,50.27970164,15.60873757
set_03,50.25300672,11.30208425
set_03,50.47414112,12.46199667
set_03,50.10843997,18.25904434
set_03,49.91905825,3.716853886
set_03,50.08366451,10.2358819
set_03,50.35226084,12.46860053
set_03,50.49757224,7.409625234
set_03,50.01630583,16.25368479
set_03,50.46822122,13.35670246
set_03,69.55067898,9.032987569
set_03,69.51867275,15.18048643
set_03,69.50345741,16.87831327
set_03,69.49948683,10.20782668
set_03,69.52752968,9.992296666
set_03,69.51909526,11.4226857
set_03,69.56189943,15.99980379
set_03,69.50104452,5.955833539
set_03,69.52463598,2.73476017
set_03,30.49959371,26.08556157
set_03,30.48739171,19.77947037
set_03,89.50018047,31.97891744
set_03,50.41027163,98.62836944
set_03,50.32592439,94.99463085
set_03,50.1040315,95.08853802
set_04,38.33775718,92.47271905
set_04,35.75187079,94.11676803
set_04,32.76721796,88.51829458
set_04,33.72960678,88.62226579
set_04,37.23824933,83.72492841
set_04,36.02719822,82.04078065
set_04,39.23928078,79.26372384
set_04,39.78452494,82.2605659
set_04,35.16602939,84.15649198
set_04,40.62211592,78.54210421
set_04,39.18190709,79.8190372
set_04,42.43088899,75.13363464
set_04,43.08125586,75.34670164
set_04,44.36071943,70.47420705
set_04,44.32477884,71.0459044
set_04,47.5521602,66.46040372
set_04,48.66492462,64.96100494
set_04,46.28063196,68.02842315
set_04,50.56324448,62.62382797
set_04,52.63096423,59.96393579
set_04,54.63620644,57.49384244
set_04,51.34602714,61.60055304
set_04,57.13485535,53.8779658
set_04,54.17124157,58.0598079
set_04,50.94238231,62.09739394
set_04,66.51292446,59.07128185
set_04,64.3979095,56.1748754
set_04,68.68659329,62.23734399
set_04,65.02779371,57.09625735
set_04,53.30450317,40.88384455
set_04,52.94517809,40.38462569
set_04,45.2257382,30.55522592
set_04,50.84330462,37.7446281
set_04,49.65929394,36.27344274
set_04,47.14278893,32.02506417
set_04,41.27005653,21.72181715
set_04,47.13012716,31.30990292
set_04,40.91597158,23.54159239
set_04,38.66016397,21.68954964
set_04,42.61255083,24.19505377
set_04,41.2090395,24.12870919
set_04,50.64922115,37.48379074
set_04,52.13190194,39.36460208
set_04,39.79727127,16.08354965
set_04,43.54988148,24.30721094
set_04,36.71466334,17.38180986
set_04,37.22461013,17.98006448
set_04,40.51244785,22.96221457
set_04,40.22206279,20.6146217
set_04,44.12496121,23.36624529
set_04,42.3462616,24.55832694
set_04,44.18908437,28.77262547
set_04,45.81424531,31.05697967
set_04,46.64311927,31.40721906
set_04,52.1898883,39.36779649
set_04,51.10031736,38.09569998
set_04,65.40083415,42.61403204
set_04,64.85203983,43.13373484
set_04,63.40380601,44.84749369
set_04,65.37154887,42.69597132
set_04,61.9080397,53.19035207
set_04,71.826653,65.68623036
set_04,72.65462316,66.87827761
set_04,76.88857816,72.16547208
set_04,43.74461968,71.26796108
set_04,39.05424844,83.1190207
set_04,39.93167463,79.939188
set_04,39.76282611,76.40596745
set_04,41.32338329,80.2118686
set_04,41.78732323,83.98807799
set_04,39.75564907,79.65709664
